,uptime,temperature,humidity,aqi,winp,wind,weather,rtu2
479,2019/6/18 3:10,21,99,22,2,2,0,0.0
480,2019/6/18 4:00,21,99,23,1,2,1,0.0
481,2019/6/18 20:10,23,99,30,1,4,3,0.0
482,2019/6/18 21:15,23,99,33,1,0,3,0.0
483,2019/6/18 22:10,22,99,42,2,2,3,0.0
484,2019/6/18 23:10,22,99,42,1,6,3,0.0
485,2019/6/17 1:10,25,77,62,2,2,3,0.0
486,2019/6/17 2:10,24,84,57,1,3,3,0.0
487,2019/6/17 3:10,23,90,52,1,6,3,0.0
488,2019/6/17 4:10,24,85,57,3,6,3,0.0
489,2019/6/17 20:10,21,99,27,2,4,0,0.0
490,2019/6/17 20:45,21,99,26,2,4,0,0.0
491,2019/6/17 22:00,21,99,24,2,4,0,0.0
492,2019/6/17 23:10,21,99,28,2,4,0,0.0
493,2019/6/16 1:10,23,82,64,2,2,3,0.0
494,2019/6/16 2:10,25,72,69,1,4,3,0.0
495,2019/6/16 3:10,24,83,65,1,3,3,0.0
496,2019/6/16 4:10,23,90,68,1,3,3,0.0
497,2019/6/16 20:10,27,60,73,2,4,1,0.0
498,2019/6/16 21:10,27,65,80,1,4,1,0.0
499,2019/6/16 22:10,26,69,63,2,4,1,0.0
500,2019/6/16 23:10,25,74,58,1,4,3,0.0
501,2019/6/15 1:10,19,94,53,2,2,4,0.0
502,2019/6/15 2:10,20,87,51,1,2,4,0.0
503,2019/6/15 3:10,19,90,51,1,1,4,0.0
504,2019/6/15 4:10,18,97,54,0,8,4,0.0
505,2019/6/15 20:10,25,73,94,2,2,1,0.0
506,2019/6/15 21:10,25,77,67,1,0,1,0.0
507,2019/6/15 22:10,24,78,71,2,4,1,0.0
508,2019/6/15 23:10,23,88,65,0,8,3,0.0
509,2019/6/14 1:10,17,99,51,1,6,4,0.0
510,2019/6/14 2:10,18,99,52,1,2,4,0.0
511,2019/6/14 3:10,17,99,49,2,6,4,0.0
512,2019/6/14 4:10,17,98,49,1,2,4,0.0
513,2019/6/14 20:10,24,73,77,1,2,4,0.0
514,2019/6/14 21:10,22,81,53,2,2,4,0.0
515,2019/6/14 22:10,22,79,53,1,2,4,0.0
516,2019/6/14 23:10,21,85,52,1,2,4,0.0
517,2019/6/13 1:10,22,80,42,1,5,1,0.0
518,2019/6/13 2:10,22,76,53,2,5,1,0.0
519,2019/6/13 3:10,22,82,56,2,5,1,0.0
520,2019/6/13 4:10,22,81,54,2,5,1,0.0
521,2019/6/13 20:10,22,68,44,2,4,4,0.0
522,2019/6/13 21:10,20,82,51,2,0,4,0.0
523,2019/6/13 22:10,19,87,51,1,4,4,0.0
524,2019/6/13 23:10,18,96,52,0,8,4,0.0
525,2019/6/12 21:10,24,76,75,1,4,4,0.0
526,2019/6/12 22:10,24,71,59,2,4,4,0.0
527,2019/6/12 23:10,24,66,48,2,0,4,0.0
528,2019/6/2 1:10,18,97,68,1,5,3,0.0
529,2019/6/2 2:10,18,98,68,1,0,3,0.0
530,2019/6/2 3:10,18,99,75,1,4,3,0.0
531,2019/6/2 4:10,18,99,75,1,5,3,0.0
532,2019/6/1 1:10,19,99,75,1,3,3,0.0
533,2019/6/1 2:10,19,99,75,1,5,3,0.0
534,2019/6/1 3:10,18,99,64,1,2,3,0.0
535,2019/6/1 4:10,18,99,69,1,7,3,0.0
536,2019/6/1 20:05,23,69,106,2,4,3,0.0
537,2019/6/1 21:10,23,68,98,2,4,3,0.0
538,2019/6/1 22:10,21,77,67,0,8,3,0.0
539,2019/6/1 23:10,19,87,68,2,4,3,0.0
540,2019/5/31 1:10,18,99,52,1,2,3,0.0
541,2019/5/31 1:40,18,99,54,0,8,3,0.0
542,2019/5/31 2:10,18,99,54,0,8,3,0.0
543,2019/5/31 2:40,18,99,58,0,8,3,0.0
544,2019/5/31 3:05,18,99,58,1,3,2,0.0
545,2019/5/31 3:40,18,99,55,1,3,3,0.0
546,2019/5/31 4:10,18,99,55,0,8,3,0.0
547,2019/5/31 4:40,18,99,55,0,8,3,0.0
548,2019/5/31 20:10,22,77,49,1,6,1,0.0
549,2019/5/31 21:10,21,87,53,0,8,1,0.0
550,2019/5/31 22:10,20,86,62,1,4,1,0.0
551,2019/5/31 23:10,19,97,62,0,8,3,0.0
552,2019/5/30 1:10,19,75,70,2,1,1,0.0
553,2019/5/30 1:40,20,70,68,2,7,1,0.0
554,2019/5/30 2:10,20,69,68,1,7,3,0.0
555,2019/5/30 2:40,20,71,57,1,7,3,0.0
556,2019/5/30 3:10,20,72,57,1,7,3,0.0
557,2019/5/30 3:40,20,74,57,1,3,3,0.0
558,2019/5/30 4:10,19,80,57,1,1,3,0.0
559,2019/5/30 4:40,19,81,56,1,1,3,0.0
560,2019/5/30 20:10,19,99,48,0,8,0,0.0
561,2019/5/30 20:40,18,99,53,2,2,0,0.0
562,2019/5/30 21:10,18,99,53,1,4,0,0.0
563,2019/5/30 21:40,18,99,52,1,5,0,0.0
564,2019/5/30 22:10,18,99,52,2,5,0,0.0
565,2019/5/30 22:40,18,99,50,0,8,0,0.0
566,2019/5/30 23:10,18,99,50,1,3,0,0.0
567,2019/5/29 1:10,18,83,33,1,5,1,0.0
568,2019/5/29 1:40,18,85,38,1,5,1,0.0
569,2019/5/29 2:10,17,84,38,1,3,3,0.0
570,2019/5/29 2:40,16,90,32,1,3,3,0.0
571,2019/5/29 3:10,17,82,32,1,5,3,0.0
572,2019/5/29 3:40,17,85,32,1,5,3,0.0
573,2019/5/29 4:10,17,83,32,2,5,3,0.0
574,2019/5/29 4:40,17,82,33,1,3,3,0.0
575,2019/5/29 20:10,23,43,53,2,4,3,0.0
576,2019/5/29 20:40,22,45,52,1,4,3,0.0
577,2019/5/29 21:10,22,51,52,1,4,3,0.0
578,2019/5/29 21:40,21,60,56,1,2,3,0.0
579,2019/5/29 22:10,21,59,56,1,6,3,0.0
580,2019/5/29 22:40,21,63,57,1,1,3,0.0
581,2019/5/29 23:10,21,67,57,1,1,1,0.0
582,2019/5/28 1:10,19,72,37,2,0,3,0.0
583,2019/5/28 1:40,19,72,32,3,0,3,0.0
584,2019/5/28 2:10,18,71,32,3,0,3,0.0
585,2019/5/28 2:40,18,70,31,2,5,3,0.0
586,2019/5/28 3:10,18,67,31,2,5,3,0.0
587,2019/5/28 3:40,18,63,29,2,0,3,0.0
588,2019/5/28 4:10,17,62,29,2,0,3,0.0
589,2019/5/28 4:40,17,67,28,1,0,3,0.0
590,2019/5/28 20:10,21,66,36,1,3,1,0.0
591,2019/5/28 20:40,20,65,46,2,3,1,0.0
592,2019/5/28 21:10,20,58,46,2,5,1,0.0
593,2019/5/28 21:40,20,57,55,3,5,1,0.0
594,2019/5/28 22:10,20,56,55,2,5,1,0.0
595,2019/5/28 22:40,20,59,61,2,5,1,0.0
596,2019/5/28 23:05,19,63,61,2,5,1,0.0
597,2019/5/27 1:10,21,99,28,1,6,3,0.0
598,2019/5/27 1:20,21,99,25,1,2,3,0.0
599,2019/5/27 2:05,20,99,25,1,2,3,0.0
