,uptime,temperature,humidity,aqi,winp,wind,weather,rtu1
174,2020-05-01 01:57:00,23,62,34,2,2,1,0.0
175,2020-05-01 03:06:00,23,65,41,2,2,1,0.0
176,2020-05-01 03:58:00,22,67,60,2,2,1,0.0
177,2020-05-01 04:54:00,22,73,60,2,2,1,0.0
178,2020-05-01 20:54:00,21,89,55,2,4,1,0.0
179,2020-05-01 22:06:00,20,92,57,2,4,1,0.0
180,2020-05-01 22:57:00,19,95,54,1,0,3,0.0
181,2020-04-30 01:10:00,16,99,76,1,0,4,0.0
182,2020-04-30 01:59:00,16,99,75,1,5,4,0.0
183,2020-04-30 02:53:00,15,99,78,0,8,4,0.0
184,2020-04-30 04:07:00,15,99,77,1,4,4,0.0
185,2020-04-30 20:04:00,26,60,86,3,1,1,0.0
186,2020-04-30 20:59:00,25,64,85,2,6,1,0.0
187,2020-04-30 21:57:00,25,60,80,3,2,1,0.0
188,2020-04-30 22:54:00,24,62,68,3,2,1,0.0
189,2020-04-29 01:00:00,10,99,84,0,8,4,0.0
190,2020-04-29 01:55:00,10,99,83,1,0,4,0.0
191,2020-04-29 02:58:00,9,99,70,1,4,4,0.0
192,2020-04-29 04:10:00,9,99,67,0,8,4,0.0
193,2020-04-29 04:57:00,9,99,67,1,4,4,0.0
194,2020-04-29 20:58:00,21,78,82,1,4,1,0.0
195,2020-04-29 22:04:00,19,90,85,1,4,1,0.0
196,2020-04-29 22:46:00,18,91,77,1,4,4,0.0
197,2020-04-28 01:00:00,7,99,60,1,3,4,0.0
198,2020-04-28 01:57:00,6,99,60,1,0,4,0.0
199,2020-04-28 03:10:00,6,99,58,0,8,2,0.0
200,2020-04-28 04:09:00,5,99,59,1,5,4,0.0
201,2020-04-28 21:01:00,14,78,67,1,4,4,0.0
202,2020-04-28 21:59:00,13,77,80,1,7,4,0.0
203,2020-04-28 23:10:00,11,94,77,1,5,4,0.0
204,2020-04-27 02:01:00,13,76,52,2,0,4,0.0
205,2020-04-27 02:53:00,13,76,52,3,0,4,0.0
206,2020-04-27 04:05:00,12,76,50,3,0,4,0.0
207,2020-04-27 20:55:00,11,85,63,1,0,4,0.0
208,2020-04-27 22:00:00,9,96,59,1,5,4,0.0
209,2020-04-27 22:52:00,8,98,58,0,8,4,0.0
210,2020-04-26 02:15:00,14,83,79,1,3,4,0.0
211,2020-04-26 02:59:00,14,88,82,2,5,4,0.0
212,2020-04-26 04:03:00,14,83,86,2,5,4,0.0
213,2020-04-26 20:04:00,21,66,72,3,5,4,0.0
214,2020-04-26 20:58:00,19,67,73,3,5,4,0.0
215,2020-04-26 22:08:00,17,72,76,2,5,4,0.0
216,2020-04-26 23:05:00,17,74,69,3,5,4,0.0
217,2020-04-25 01:08:00,11,79,103,2,6,4,0.0
218,2020-04-25 02:02:00,12,77,71,2,6,4,0.0
219,2020-04-25 02:59:00,12,78,59,2,6,4,0.0
220,2020-04-25 03:58:00,11,81,55,2,6,4,0.0
221,2020-04-25 04:59:00,11,79,51,2,6,4,0.0
222,2020-04-25 20:03:00,19,55,73,1,7,1,0.0
223,2020-04-25 20:53:00,17,72,99,2,2,1,0.0
224,2020-04-25 22:07:00,16,68,94,1,1,1,0.0
225,2020-04-25 23:08:00,16,68,83,2,1,3,0.0
226,2020-04-24 01:05:00,7,99,83,1,5,4,0.0
227,2020-04-24 01:55:00,7,99,82,0,8,4,0.0
228,2020-04-24 02:54:00,5,99,87,1,7,4,0.0
229,2020-04-24 04:14:00,6,99,88,1,6,4,0.0
230,2020-04-24 20:02:00,14,65,62,1,2,4,0.0
231,2020-04-24 21:10:00,11,81,71,2,2,4,0.0
232,2020-04-24 22:03:00,11,84,83,1,6,4,0.0
233,2020-04-24 23:02:00,13,62,96,1,6,4,0.0
234,2020-04-23 02:04:00,11,88,59,1,3,3,0.0
235,2020-04-23 03:03:00,10,90,58,1,3,3,0.0
236,2020-04-23 03:57:00,9,80,56,2,3,3,0.0
237,2020-04-23 04:56:00,9,79,45,2,5,3,0.0
238,2020-04-23 20:05:00,12,78,54,2,2,1,0.0
239,2020-04-23 20:59:00,12,79,61,0,8,1,0.0
240,2020-04-23 21:57:00,10,93,72,1,5,1,0.0
241,2020-04-23 22:52:00,9,99,75,1,5,4,0.0
242,2020-04-22 01:00:00,11,96,53,1,5,3,0.0
243,2020-04-22 01:58:00,10,99,55,1,6,3,0.0
244,2020-04-22 03:07:00,10,99,55,0,8,3,0.0
245,2020-04-22 03:54:00,10,99,60,1,4,3,0.0
246,2020-04-22 21:05:00,14,78,74,1,5,1,0.0
247,2020-04-22 22:06:00,14,79,74,1,5,1,0.0
248,2020-04-22 23:03:00,13,82,67,1,5,3,0.0
249,2020-04-21 01:12:00,13,99,87,1,7,1,0.0
250,2020-04-21 02:07:00,13,99,89,1,7,1,0.0
251,2020-04-21 02:59:00,13,99,88,1,3,1,0.0
252,2020-04-21 04:10:00,13,99,89,1,3,1,0.0
253,2020-04-21 21:00:00,13,76,55,1,0,1,0.0
254,2020-04-21 22:04:00,12,87,58,1,1,1,0.0
255,2020-04-21 22:57:00,11,92,55,1,2,3,0.0
256,2020-04-20 01:01:00,10,99,67,1,0,3,0.0
257,2020-04-20 02:03:00,9,99,67,2,6,3,0.0
258,2020-04-20 03:06:00,10,99,67,1,6,3,0.0
259,2020-04-20 04:13:00,10,99,60,1,4,3,0.0
260,2020-04-20 20:04:00,13,99,58,2,2,1,0.0
261,2020-04-20 21:00:00,13,99,65,2,6,1,0.0
262,2020-04-20 22:11:00,14,99,77,1,6,1,0.0
263,2020-04-20 23:00:00,14,99,84,1,1,1,0.0
264,2020-04-19 02:04:00,12,99,77,2,3,0,0.0
265,2020-04-19 03:08:00,12,99,68,2,3,0,0.0
266,2020-04-19 04:05:00,12,99,55,2,3,0,0.0
267,2020-04-19 20:14:00,12,94,42,1,2,3,0.0
268,2020-04-19 21:12:00,11,99,52,1,4,3,0.0
269,2020-04-19 22:13:00,10,99,55,1,4,3,0.0
270,2020-04-19 23:07:00,10,99,57,1,7,3,0.0
271,2020-04-18 01:05:00,17,71,91,2,0,1,0.0
272,2020-04-18 02:12:00,16,67,74,2,5,1,0.0
273,2020-04-18 03:00:00,16,60,77,2,5,1,0.0
274,2020-04-18 04:07:00,16,58,76,2,0,1,0.0
275,2020-04-18 20:09:00,12,99,67,2,3,0,0.0
276,2020-04-18 21:01:00,12,99,74,2,5,1,0.0
277,2020-04-18 22:13:00,12,99,80,2,5,0,0.0
278,2020-04-18 22:59:00,12,99,82,2,3,1,0.0
279,2020-04-17 01:07:00,19,84,85,2,3,4,0.0
280,2020-04-17 02:09:00,19,84,85,2,7,1,0.0
281,2020-04-17 03:12:00,18,84,83,2,7,1,0.0
282,2020-04-17 04:15:00,18,82,85,2,7,1,0.0
283,2020-04-17 20:11:00,17,83,105,1,7,1,0.0
284,2020-04-17 21:05:00,16,86,101,1,1,1,0.0
285,2020-04-17 22:12:00,16,89,101,1,3,1,0.0
286,2020-04-17 23:09:00,16,93,98,1,5,1,0.0
287,2020-04-16 01:15:00,18,66,60,2,4,3,0.0
288,2020-04-16 02:02:00,17,69,59,2,4,4,0.0
289,2020-04-16 03:12:00,16,73,54,2,4,4,0.0
290,2020-04-16 04:02:00,15,77,53,2,4,4,0.0
291,2020-04-16 20:13:00,22,68,83,2,3,1,0.0
292,2020-04-16 20:58:00,21,72,87,2,3,1,0.0
293,2020-04-16 21:55:00,20,76,87,1,0,1,0.0
294,2020-04-16 22:57:00,19,82,84,2,7,4,0.0
295,2020-04-15 02:03:00,11,80,52,1,6,4,0.0
296,2020-04-15 03:07:00,11,81,43,1,6,4,0.0
297,2020-04-15 04:06:00,10,84,46,0,8,4,0.0
298,2020-04-15 20:12:00,19,52,58,2,4,3,0.0
299,2020-04-15 21:15:00,18,57,63,2,4,3,0.0
300,2020-04-15 22:13:00,18,60,61,2,4,3,0.0
301,2020-04-15 23:03:00,18,62,65,2,4,3,0.0
302,2020-04-14 01:04:00,9,97,74,1,0,3,0.0
303,2020-04-14 02:07:00,8,99,70,1,4,3,0.0
304,2020-04-14 03:14:00,8,98,69,1,4,3,0.0
305,2020-04-14 04:05:00,8,97,75,1,4,3,0.0
306,2020-04-14 20:04:00,15,73,66,1,0,3,0.0
307,2020-04-14 21:10:00,14,72,69,2,4,3,0.0
308,2020-04-14 22:06:00,14,72,69,2,4,3,0.0
